t,f,rocof,V_dc,P_mppt,P_vic,P_ref,P_inj,P_bess,SOC,alpha,beta,H_eff
4.696,49.9320023376714,2.67492770401282e-06,1200,124790.154760485,3479.5282692609,130400.082717775,130400.082717775,15928.4448268239,0.599922116093347,0.369142056420652,0.133748128658618,1.00000975532151
4.697,49.9320023403409,2.68496158129547e-06,1200,124790.154760485,3479.52807258808,130400.082951815,130400.082951815,15928.4436562526,0.599922022944553,0.369142055196584,0.133748165528136,1.00000980015696
4.698,49.9320023430204,2.69494302674537e-06,1200,124790.154760485,3479.52787522707,130400.083184931,130400.083184931,15928.4424864543,0.599921929795767,0.369142054060941,0.133748202376398,1.00000984475814
4.699,49.9320023457098,2.70487231366278e-06,1200,124790.154760485,3479.52767718146,130400.083417128,130400.083417128,15928.441317425,0.599921836646987,0.369142053013262,0.133748239203514,1.00000988912627
4.7,49.9320023484091,2.71474972101836e-06,1200,124790.154760485,3479.52747845484,130400.083648412,130400.083648412,15928.4401491606,0.599921743498214,0.369142052053087,0.133748276009594,1.00000993326257
4.701,49.9320023511183,2.72457551645822e-06,1200,124790.154760485,3479.52727905075,130400.083878786,130400.083878786,15928.4389816572,0.599921650349449,0.369142051179959,0.133748312794749,1.00000997716825
4.702,49.9320023538373,2.73434997255626e-06,1200,124790.154760485,3479.52707897275,130400.084108256,130400.084108256,15928.4378149106,0.599921557200689,0.369142050393423,0.133748349559088,1.00001002084452
4.703,49.932002356566,2.74407335187367e-06,1200,124790.154760485,3479.52687822435,130400.084336827,130400.084336827,15928.4366489171,0.599921464051937,0.369142049693027,0.133748386302719,1.00001006429258
4.704,49.9320023593044,2.75374592480508e-06,1200,124790.154760485,3479.52667680906,130400.084564502,130400.084564502,15928.4354836726,0.599921370903192,0.369142049078321,0.13374842302575,1.00001010751362
4.705,49.9320023620524,2.76336795664934e-06,1200,124790.154760485,3479.52647473036,130400.084791288,130400.084791288,15928.4343191732,0.599921277754453,0.369142048548859,0.133748459728289,1.00001015050882
4.706,49.9320023648101,2.77293971707462e-06,1200,124790.154760485,3479.52627199172,130400.085017187,130400.085017187,15928.433155415,0.599921184605721,0.369142048104192,0.133748496410444,1.00001019327936
4.707,49.9320023675773,2.78246145644489e-06,1200,124790.154760485,3479.52606859658,130400.085242206,130400.085242206,15928.4319923942,0.599921091456996,0.36914204774388,0.133748533072319,1.00001023582642
