scheme,Δω_op,mode_idx,real,imag,omega_n,damping
C4,0.8,3,-26.315368028516502,0.0,26.315368028516502,1.0
C4,0.8,4,-8.65991727186827,0.0,8.65991727186827,1.0
C4,0.8,5,0.0001146372207738653,0.0,0.0001146372207738653,-1.0
C1,0.9,1,-248.1972331750353,0.0,248.1972331750353,1.0
C1,0.9,2,-50.000142186843,0.0,50.000142186843,1.0
C1,0.9,3,-21.87366402797965,0.0,21.87366402797965,1.0
C1,0.9,4,-3.63910021489136,0.0,3.63910021489136,1.0
C1,0.9,5,0.0,0.0,0.0,1.0
C2,0.9,1,-246.32843626225164,0.0,246.32843626225164,1.0
C2,0.9,2,-50.000633472390156,0.0,50.000633472390156,1.0
C2,0.9,3,-23.03942951013348,0.0,23.03942951013348,1.0
C2,0.9,4,-4.3445507430196155,0.0,4.3445507430196155,1.0
C2,0.9,5,0.0,0.0,0.0,1.0
C3,0.9,1,-247.05433921707333,0.0,247.05433921707333,1.0
C3,0.9,2,-50.00112620359749,0.0,50.00112620359749,1.0
C3,0.9,3,-21.443728017861748,0.0,21.443728017861748,1.0
C3,0.9,4,-5.213856549262458,0.0,5.213856549262458,1.0
C3,0.9,5,0.0,0.0,0.0,1.0
C4,0.9,1,-89.31383617125132,0.0,89.31383617125132,1.0
